public_food_key,food_name,sheet,is_liquid_sheet,classification,energy_with_dietary_fibre_equated_kj,energy_without_dietary_fibre_equated_kj,moisture_water_g,protein_g,nitrogen_g,fat_total_g,ash_g,total_dietary_fibre_g,alcohol_g,total_sugars_g,added_sugars_g,free_sugars_g,starch_g,available_carbohydrate_without_sugar_alcohols_g,available_carbohydrate_with_sugar_alcohols_g,calcium_ca_mg,iodine_i_ug,iron_fe_mg,magnesium_mg_mg,phosphorus_p_mg,potassium_k_mg,selenium_se_ug,sodium_na_mg,zinc_zn_mg,retinol_preformed_vitamin_a_ug,betacarotene_ug,betacarotene_equivalents_provitamin_a_ug,vitamin_a_retinol_equivalents_ug,thiamin_b1_mg,riboflavin_b2_mg,niacin_b3_mg,niacin_derived_from_tryptophan_mg,niacin_derived_equivalents_mg,pyridoxine_b6_mg,cobalamin_b12_ug,folate_natural_ug,folic_acid_ug,total_folates_ug,dietary_folate_equivalents_ug,vitamin_c_mg,cholecalciferol_d3_ug,ergocalciferol_d2_ug,25hydroxy_cholecalciferol_25oh_d3_ug,25hydroxy_ergocalciferol_25oh_d2_ug,vitamin_d3_equivalents_ug,alpha_tocopherol_mg,vitamin_e_mg,total_saturated_fatty_acids_equated_percentt,total_monounsaturated_fatty_acids_equated_percentt,c182w6_percentt,c183w3_percentt,c205w3_percentt,c225w3_percentt,c226w3_percentt,total_polyunsaturated_fatty_acids_equated_percentt,total_long_chain_omega_3_fatty_acids_equated_percentt,total_trans_fatty_acids_imputed_percentt,total_saturated_fatty_acids_equated_g,total_monounsaturated_fatty_acids_equated_g,c182w6_g,c183w3_g,c205w3_mg,c225w3_mg,c226w3_mg,total_polyunsaturated_fatty_acids_equated_g,total_long_chain_omega_3_fatty_acids_equated_mg,total_trans_fatty_acids_imputed_mg,caffeine_mg,cholesterol_mg,tryptophan_mggn,tryptophan_mg,fructose_g,glucose_g,sucrose_g,maltose_g,lactose_g,chloride_cl_mg,copper_cu_mg,fluoride_f_ug,manganese_mn_mg,sulphur_s_mg,alphacarotene_ug,cryptoxanthin_ug,c10_percentt,c12_percentt,c14_percentt,c15_percentt,c16_percentt,c17_percentt,c18_percentt,c20_percentt,c22_percentt,c24_percentt,c151_percentt,c161_percentt,c171_percentt,c181_percentt,c201_percentt,c221_percentt,c203w3_percentt,c204w6_percentt,c10_g,c12_g,c14_g,c15_g,c16_g,c17_g,c18_g,c20_g,c22_g,c24_g,c151_g,c161_g,c171_g,c181_g,c201_g,c221_g,c203w3_mg,c204w6_mg,galactose_g,chromium_cr_ug,molybdenum_mo_ug,nickel_ni_ug,pantothenic_acid_b5_mg,biotin_b7_ug,c6_percentt,c8_percentt,c6_g,c8_g,citric_acid_g,lactic_acid_g,malic_acid_g,quinic_acid_g,c4_percentt,c141_percentt,c241_percentt,c183w6_percentt,c202w6_percentt,c203w6_percentt,c224w6_percentt,c4_g,c141_g,c241_g,c183w6_mg,c202w6_mg,c203w6_mg,c224w6_mg,dextrin_g,alanine_mggn,arginine_mggn,aspartic_acid_mggn,cystine_plus_cysteine_mggn,glutamic_acid_mggn,glycine_mggn,histidine_mggn,isoleucine_mggn,leucine_mggn,lysine_mggn,methionine_mggn,phenylalanine_mggn,proline_mggn,serine_mggn,threonine_mggn,tyrosine_mggn,valine_mggn,alanine_mg,arginine_mg,aspartic_acid_mg,cystine_plus_cysteine_mg,glutamic_acid_mg,glycine_mg,histidine_mg,isoleucine_mg,leucine_mg,lysine_mg,methionine_mg,phenylalanine_mg,proline_mg,serine_mg,threonine_mg,tyrosine_mg,valine_mg,maltotrios_g,maltodextrin_g,acetic_acid_g,succinic_acid_g,tartaric_acid_g,aluminium_al_ug,antimony_sb_ug,arsenic_as_ug,cadmium_cd_ug,lead_pb_ug,mercury_hg_ug,tin_sn_ug,beta_tocopherol_mg,delta_tocopherol_mg,gamma_tocopherol_mg,propionic_acid_g,c221w11_percentt,c184w3_percentt,c222w6_percentt,c221w11_mg,c184w3_mg,c222w6_mg,oxalic_acid_g,xanthophyl_ug,cobalt_co_ug,resistant_starch_g,c11_percentt,c13_percentt,c21_percentt,c23_percentt,c11_g,c13_g,c21_g,c23_g,c19_percentt,c19_g,total_undifferentiated_fatty_acids_percentt,total_undifferentiated_fatty_acids_mass_basis_basis_mg,alpha_tocotrienol_mg,beta_tocotrienol_mg,delta_tocotrienol_mg,gamma_tocotrienol_mg,inulin_g,lutein_ug,lycopene_ug,raffinose_g,stachyose_g,sorbitol_g,shikimic_acid_g,mannitol_g,c204_percentt,c204_g,oligosaccharides_g,glycogen_g,c121_percentt,c162w4_percentt,c163_percentt,c183w4_percentt,c184w1_percentt,c202_percentt,c203_percentt,c204w3_percentt,c215w3_percentt,c222_percentt,c225w6_percentt,c121_g,c162w4_mg,c163_g,c183w4_g,c184w1_g,c202_mg,c203_mg,c204w3_mg,c215w3_g,c222_g,c225w6_g,c122_percentt,c122_g,glycerol_g,erythritol_g,maltitol_g,xylitol_g,polydextrose_g,fumaric_acid_g
F002111,"Cake, chocolate, homemade, iced",All solids & liquids per 100g,True,13301.0,1554.0,1534.0,24.1,6.6,1.15,17.8,2.0,2.6,0.0,27.0,25.4,25.4,19.4,46.4,46.4,54.0,13.9,2.78,56.0,255.0,410.0,7.8,361.0,0.96,123.0,23.0,23.0,127.0,0.057,0.099,0.6,1.4,2.03,0.04,0.2,19.0,0.0,19.0,19.0,0.0,0.4,0.0,0.1,0.0,0.91,0.6,0.6,,,,,,,,,,,11.57,3.92,0.5,0.11,0.08,1.58,7.68,0.64,9.339,373.46,11.0,96.0,,83.0,,0.1,25.6,,1.0,,0.324,,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002112,"Cake, chocolate, homemade, uniced",All solids & liquids per 100g,True,13301.0,1554.0,1531.0,26.0,7.9,1.37,19.2,2.3,2.9,0.0,17.9,15.9,15.9,23.4,41.3,41.3,64.0,16.9,3.09,62.0,307.0,454.0,9.6,422.0,1.1,125.0,24.0,24.0,129.0,0.071,0.12,0.68,1.68,2.4,0.05,0.2,22.0,0.0,22.0,22.0,0.0,0.4,0.0,0.1,0.0,1.09,0.6,0.67,,,,,,,,,,,12.39,4.26,0.58,0.12,0.1,1.97,9.56,0.74,11.627,398.51,12.0,113.0,,99.0,,0.1,16.2,,1.2,,0.355,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,,,,,,,,,3.75,,,,,,1.5,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002150,"Cake, fruit, homemade, uniced",All solids & liquids per 100g,True,13303.0,1266.0,1242.0,30.8,3.9,0.66,9.9,1.4,3.0,0.8,38.7,4.4,4.8,8.9,48.2,48.2,43.0,6.0,1.32,30.0,86.0,424.0,4.1,138.0,0.45,57.0,14.0,15.0,60.0,0.08,0.048,0.5,0.72,1.25,0.1,0.1,13.0,0.0,13.0,13.0,5.0,0.2,0.0,0.0,0.0,0.49,0.9,0.96,,,,,,,,,,,5.71,2.5,0.57,0.07,0.02,0.75,4.23,0.65,5.011,193.58,0.0,51.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002159,"Cake, lamington, unfilled",All solids & liquids per 100g,True,13302.0,1233.0,1214.0,28.4,4.7,0.75,9.4,1.2,2.4,0.0,31.5,29.0,29.0,16.5,48.0,48.0,6.0,11.0,1.6,26.0,170.0,200.0,5.0,218.0,0.77,9.0,22.0,22.0,13.0,0.0,0.02,0.5,0.59,1.09,0.18,0.3,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,78.04,15.27,4.7,1.0,0.0,0.0,0.0,5.89,0.0,0.4,6.93,1.36,0.42,0.09,0.0,0.0,0.0,0.52,0.0,35.52,3.0,31.0,46.0,34.0,0.1,0.0,31.0,0.0,0.4,200.0,0.156,0.0,0.38,40.0,0.0,0.0,3.7,33.6,12.9,0.1,13.0,0.0,8.6,0.2,0.1,0.0,0.0,0.4,0.0,14.8,0.1,0.0,0.0,0.1,0.33,2.99,1.15,0.0,1.16,0.0,0.76,0.02,0.0,0.0,0.0,0.03,0.0,1.31,0.01,0.0,0.0,10.66,,,,,0.28,5.0,0.5,5.2,0.05,0.46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,1.0,0.4,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002163,"Cake, mud, dark chocolate, commercial, chocolate ganache icing",All solids & liquids per 100g,True,13301.0,1415.0,1394.0,26.2,5.1,0.82,13.8,1.5,2.6,0.0,33.1,31.9,31.9,15.6,48.7,48.7,39.0,7.7,1.57,31.0,133.0,217.0,6.6,290.0,0.49,12.0,0.0,0.0,12.0,0.096,0.06,0.16,0.64,0.79,0.06,0.3,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.95,30.29,47.3,17.2,4.8,0.0,0.0,0.0,22.1,0.058,0.2,4.01,6.26,2.28,0.64,0.0,0.0,7.68,2.93,7.682,22.52,7.0,24.0,46.0,38.0,0.0,0.0,32.0,0.0,1.0,293.0,0.101,,0.387,,0.0,,0.4,9.4,4.2,0.1,9.4,0.1,5.7,0.4,0.1,0.0,0.0,0.3,0.0,46.4,0.4,0.0,0.0,0.0,0.06,1.24,0.56,0.01,1.25,0.01,0.75,0.05,0.02,0.01,0.0,0.04,0.0,6.14,0.06,0.0,0.0,0.0,,12.0,5.4,42.0,0.19,,0.0,0.4,0.01,0.05,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.8,0.5,0.6,0.0,5.6,0.0,0.0,4.0,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing",All solids & liquids per 100g,True,13301.0,1919.0,1914.0,22.8,5.2,0.91,33.8,1.4,0.6,0.0,28.3,27.7,27.7,7.2,35.5,35.5,40.0,19.1,2.29,54.0,134.0,264.0,7.4,256.0,1.13,158.0,34.0,34.0,164.0,0.041,0.162,0.81,1.25,2.07,0.02,0.3,29.0,0.0,29.0,29.0,0.0,0.5,0.0,0.2,0.0,1.43,0.9,0.94,,,,,,,,,,,21.39,8.67,0.88,0.17,2.07,3.51,13.27,1.11,18.851,587.02,24.0,152.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002165,"Cake, mud, dark chocolate, homemade, uniced",All solids & liquids per 100g,True,13301.0,1897.0,1893.0,24.8,5.6,0.97,34.3,1.4,0.5,0.0,25.5,24.9,24.9,7.0,32.5,32.5,36.0,21.3,2.04,45.0,127.0,242.0,8.8,308.0,1.03,178.0,29.0,29.0,183.0,0.041,0.171,0.77,1.32,2.1,0.02,0.4,30.0,0.0,30.0,30.0,0.0,0.6,0.0,0.2,0.0,1.79,1.0,1.04,,,,,,,,,,,21.87,8.52,0.89,0.18,0.1,2.26,16.59,1.12,18.944,588.03,19.0,183.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002168,"Cake, plain butter cake, commercial, iced",All solids & liquids per 100g,True,13303.0,1555.0,1541.0,18.7,5.0,0.8,16.1,1.8,1.4,0.0,36.7,34.3,34.3,16.0,52.7,52.7,4.0,15.6,0.5,10.0,190.0,77.0,4.0,420.0,0.7,36.0,107.0,107.0,54.0,0.05,0.08,0.7,0.62,1.32,0.02,0.1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,18.48,54.1,15.8,6.9,0.0,0.0,0.1,23.06,0.065,1.3,2.85,8.34,2.44,1.07,0.0,0.0,10.02,3.56,10.023,200.46,0.0,54.0,46.0,37.0,0.0,0.0,35.0,0.5,1.2,230.0,0.1,0.0,0.29,60.0,0.0,0.0,0.3,0.6,1.1,0.2,10.5,0.2,4.4,0.4,0.2,0.1,,0.8,0.2,52.2,0.8,0.0,0.0,0.2,0.04,0.1,0.17,0.03,1.62,0.03,0.68,0.07,0.03,0.02,,0.12,0.02,8.05,0.12,0.0,0.0,23.13,,,,,0.38,2.8,0.1,0.1,0.02,0.02,,,,,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.01,0.01,13.88,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002169,"Cake, plain butter cake, commercial, uniced",All solids & liquids per 100g,True,13303.0,1486.0,1474.0,25.4,8.2,1.31,15.2,1.8,1.3,0.0,25.3,23.0,23.0,21.6,46.9,46.9,52.0,15.6,1.2,14.0,300.0,110.0,4.0,480.0,0.5,39.0,61.0,61.0,49.0,0.06,0.17,0.8,1.02,1.82,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.48,54.1,15.8,6.9,0.0,0.0,0.1,23.06,0.065,0.4,2.68,7.86,2.3,1.01,0.0,0.0,9.44,3.35,9.443,62.47,0.0,75.0,46.0,60.0,0.2,0.3,24.1,0.1,0.6,440.0,0.07,0.0,0.2,60.0,0.0,0.0,0.3,0.6,1.1,0.2,10.5,0.2,4.4,0.4,0.2,0.1,,0.8,0.2,52.2,0.8,0.0,0.0,0.2,0.04,0.09,0.16,0.03,1.53,0.03,0.64,0.06,0.03,0.02,,0.11,0.02,7.58,0.11,0.0,0.0,21.79,,,,,0.38,3.5,0.1,0.1,0.02,0.02,,,,,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.01,0.01,13.08,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002170,"Cake, plain butter cake, homemade, iced",All solids & liquids per 100g,True,13303.0,1564.0,1558.0,22.6,5.4,0.91,15.1,1.5,0.7,0.0,31.5,29.8,29.8,23.7,55.2,55.2,42.0,12.6,0.62,14.0,237.0,89.0,7.7,406.0,0.43,111.0,19.0,19.0,114.0,0.069,0.082,0.51,1.16,1.7,0.02,0.2,14.0,0.0,14.0,14.0,0.0,0.3,0.0,0.1,0.0,0.82,0.5,0.52,,,,,,,,,,,9.79,3.22,0.47,0.1,0.07,1.59,7.0,0.6,8.67,334.86,0.0,87.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002171,"Cake, plain butter cake, homemade, uniced",All solids & liquids per 100g,True,13303.0,1587.0,1580.0,22.7,6.7,1.13,16.1,1.8,0.9,0.0,23.5,21.7,21.7,29.0,52.5,52.5,52.0,15.5,0.78,17.0,296.0,110.0,9.5,481.0,0.54,111.0,19.0,19.0,114.0,0.086,0.1,0.6,1.44,2.07,0.03,0.2,17.0,0.0,17.0,17.0,0.0,0.4,0.0,0.1,0.0,0.99,0.6,0.58,,,,,,,,,,,10.34,3.47,0.55,0.11,0.09,1.99,8.76,0.69,10.838,352.13,0.0,103.0,,84.0,,0.0,22.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,,,,,,,,,3.02,,,,,,1.1,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream",All solids & liquids per 100g,True,13302.0,1524.0,1514.0,21.5,6.7,1.08,12.2,1.3,1.2,0.0,37.6,35.2,35.2,20.5,58.0,58.0,54.0,11.0,0.66,13.0,205.0,114.0,12.2,278.0,0.44,61.0,30.0,30.0,66.0,0.114,0.162,0.55,0.87,1.42,0.05,0.2,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.43,,,,,,,,,,,5.47,3.73,1.55,0.26,12.12,8.08,16.17,1.95,36.374,290.46,0.0,130.0,,51.0,2.7,3.2,30.2,0.4,0.9,,0.07,,0.289,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002178,"Cake, sponge, plain, commercial, uniced, unfilled",All solids & liquids per 100g,True,13302.0,1370.0,1361.0,26.5,7.5,1.2,8.2,1.5,1.2,0.0,32.5,30.5,30.5,24.0,56.5,56.5,52.0,11.0,0.72,13.0,230.0,110.0,14.0,320.0,0.47,30.0,5.0,5.0,31.0,0.13,0.17,0.6,0.94,1.54,0.06,0.3,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,33.5,38.55,22.5,3.4,0.1,0.0,0.2,27.1,0.4,0.4,2.54,2.92,1.71,0.25,7.59,3.8,18.98,2.06,30.36,30.36,0.0,134.0,46.0,55.0,0.0,0.4,31.0,0.4,0.7,,0.063,,0.31,,0.0,,0.4,1.0,1.6,0.2,19.6,0.2,8.8,0.2,0.2,0.1,,1.4,0.0,37.0,0.1,0.0,0.0,0.8,0.03,0.07,0.12,0.01,1.49,0.02,0.66,0.02,0.02,0.01,,0.1,0.0,2.8,0.01,0.0,0.0,56.92,,,,,1.0,,0.4,0.2,0.03,0.02,,,,,0.7,0.2,0.0,0.0,0.0,0.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002205,"Camel, cube roll, raw",All solids & liquids per 100g,True,18202.0,630.0,630.0,72.1,20.3,3.25,7.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,1.9,18.0,180.0,297.0,9.0,46.0,1.93,0.0,10.0,10.0,2.0,0.04,0.2,5.97,2.79,8.76,0.53,1.7,8.0,0.0,8.0,8.0,0.0,0.2,0.0,0.5,0.0,2.7,0.9,0.9,59.6,33.2,3.9,0.9,0.0,0.4,0.0,5.8,0.4,3.8,4.37,2.44,0.29,0.07,0.0,29.35,0.0,0.42,29.352,279.07,0.0,42.0,51.0,164.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.3,6.3,0.7,31.0,1.0,20.3,0.0,0.0,0.0,,3.4,0.0,29.8,0.0,0.0,0.0,0.6,0.0,0.02,0.46,0.05,2.27,0.07,1.49,0.0,0.0,0.0,,0.25,0.0,2.19,0.0,0.0,0.0,44.03,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002206,"Camel, rump, raw",All solids & liquids per 100g,True,18202.0,475.0,475.0,75.9,21.4,3.42,3.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,2.2,21.0,193.0,297.0,9.0,52.0,1.93,0.0,10.0,10.0,2.0,0.04,0.2,5.97,2.94,8.92,0.53,1.7,8.0,0.0,8.0,8.0,0.0,0.2,0.0,0.5,0.0,2.7,0.9,0.9,47.6,37.4,8.8,1.4,0.0,1.0,0.0,13.5,1.0,3.8,1.31,1.03,0.24,0.04,0.0,27.48,0.0,0.37,27.48,104.51,0.0,47.0,51.0,173.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.3,5.2,0.6,25.7,0.7,15.1,0.0,0.0,0.0,,4.1,0.6,32.4,0.3,0.0,0.0,2.3,0.0,0.01,0.14,0.02,0.71,0.02,0.41,0.0,0.0,0.0,,0.11,0.02,0.89,0.01,0.0,0.0,63.2,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002220,"Capers, pickled, canned, drained",All solids & liquids per 100g,True,23201.0,126.0,100.0,83.8,2.4,0.38,0.9,8.0,3.2,0.0,0.4,0.0,0.0,1.3,1.7,1.7,40.0,0.0,1.67,33.0,10.0,40.0,1.2,2348.0,0.32,0.0,83.0,83.0,14.0,0.018,0.139,0.65,0.27,0.92,0.02,0.0,23.0,0.0,23.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,38.83,10.5,18.5,30.5,0.0,0.2,0.0,50.33,0.167,0.0,0.27,0.07,0.13,0.21,0.0,1.15,0.0,0.35,1.149,0.0,0.0,0.0,42.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002238,"Capsicum, green, fresh, fried, no added fat",All solids & liquids per 100g,True,24705.0,76.0,63.0,93.7,1.0,0.17,0.0,0.4,1.7,0.0,2.8,0.0,0.0,0.0,2.8,2.8,7.0,0.0,0.26,11.0,29.0,211.0,0.0,1.0,0.12,0.0,115.0,115.0,19.0,0.03,0.021,0.0,0.17,0.17,0.08,0.0,46.0,0.0,46.0,46.0,208.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,1.3,1.4,0.0,0.0,0.0,33.0,0.054,0.0,0.081,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,2.7,,0.04,2.1,,,,,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,1.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002239,"Capsicum, green, fresh, raw",All solids & liquids per 100g,True,24705.0,69.0,57.0,94.4,0.9,0.15,0.0,0.4,1.5,0.0,2.5,0.0,0.0,0.0,2.5,2.5,6.0,0.0,0.23,10.0,26.0,190.0,0.0,1.0,0.11,0.0,115.0,115.0,19.0,0.03,0.02,0.0,0.16,0.16,0.08,0.0,52.0,0.0,52.0,52.0,220.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,9.0,1.2,1.3,0.0,0.0,0.0,30.0,0.049,0.0,0.073,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,2.4,,0.04,1.9,,,,,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002246,"Capsicum, red, fresh, fried, no added fat",All solids & liquids per 100g,True,24705.0,128.0,118.0,92.2,1.2,0.19,0.4,0.6,1.2,0.0,4.9,0.0,0.0,0.0,4.9,4.9,7.0,0.0,0.31,11.0,34.0,267.0,0.9,3.0,0.15,0.0,590.0,665.0,111.0,0.04,0.116,0.0,0.18,0.18,0.06,0.0,107.0,0.0,107.0,107.0,312.0,0.0,0.0,0.0,0.0,0.0,4.4,4.43,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,2.6,2.3,0.0,0.0,0.0,33.0,0.059,0.0,0.074,,0.0,150.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,3.7,,0.08,,,,,,0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1.3,0.7,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
